Timestamp,Endpoint,ResponseTimeMS,StatusCode,Region,Method,ClientType
01-06-2025 00:00,/getUserData,1140,200,US,GET,Web
01-06-2025 00:05,/checkout,270,500,Australia,PUT,Mobile
01-06-2025 00:10,/login,878,200,Australia,POST,Mobile
01-06-2025 00:09,/login,978,200,UK,PUT,Mobile
01-06-2025 00:16,/getUserData,627,200,India,POST,Web
01-06-2025 00:20,/search,817,503,India,PUT,Web
01-06-2025 00:06,/getUserData,1513,500,India,PUT,Mobile
01-06-2025 00:07,/updateProfile,1476,502,UK,GET,Web
01-06-2025 00:08,/getUserData,1215,200,UK,GET,Web
01-06-2025 00:45,/updateProfile,1308,200,Germany,POST,Mobile
01-06-2025 00:40,/updateProfile,1301,200,UK,PUT,Web
01-06-2025 00:33,/search,1139,404,Australia,PUT,Mobile
01-06-2025 00:24,/checkout,1794,404,UK,PUT,Web
01-06-2025 00:39,/search,289,503,India,GET,Web
01-06-2025 00:42,/checkout,1670,404,Germany,PUT,Mobile
01-06-2025 01:00,/login,854,502,Australia,GET,Mobile
01-06-2025 00:16,/search,457,502,Germany,GET,Web
01-06-2025 01:08,/login,1094,404,UK,PUT,Mobile
01-06-2025 01:30,/login,815,404,Germany,PUT,Web
01-06-2025 01:35,/search,1276,200,Australia,GET,Mobile
01-06-2025 01:40,/login,1928,404,Germany,GET,Web
01-06-2025 00:42,/checkout,264,502,US,PUT,Mobile
01-06-2025 01:06,/checkout,724,502,Germany,PUT,Web
01-06-2025 00:46,/getUserData,818,500,US,PUT,Mobile
01-06-2025 02:00,/login,1577,404,Australia,PUT,Web
01-06-2025 00:25,/login,945,200,Australia,POST,Mobile
01-06-2025 00:52,/updateProfile,1528,500,Australia,PUT,Web
01-06-2025 00:27,/search,448,500,UK,PUT,Mobile
01-06-2025 00:56,/getUserData,1825,404,Germany,POST,Web
01-06-2025 01:27,/updateProfile,607,404,US,GET,Mobile
01-06-2025 00:30,/login,1829,200,Germany,POST,Mobile
01-06-2025 02:35,/updateProfile,531,200,Australia,POST,Web
01-06-2025 00:32,/login,1450,200,Australia,PUT,Web
01-06-2025 00:33,/login,617,200,Germany,PUT,Web
01-06-2025 01:42,/getUserData,444,200,Australia,GET,Mobile
01-06-2025 02:55,/search,1950,404,UK,PUT,Mobile
01-06-2025 00:36,/checkout,1446,500,UK,GET,Web
01-06-2025 02:28,/search,505,500,UK,POST,Mobile
01-06-2025 03:10,/login,680,200,Germany,POST,Mobile
01-06-2025 01:18,/getUserData,966,200,Australia,POST,Mobile
01-06-2025 02:40,/checkout,1722,200,US,PUT,Web
01-06-2025 02:03,/getUserData,1590,503,Australia,GET,Web
01-06-2025 00:42,/updateProfile,1248,500,US,PUT,Mobile
01-06-2025 02:52,/login,1935,200,Australia,PUT,Mobile
01-06-2025 00:44,/updateProfile,932,502,Germany,PUT,Mobile
01-06-2025 00:45,/updateProfile,1806,503,US,PUT,Mobile
01-06-2025 02:18,/getUserData,300,200,India,POST,Web
01-06-2025 03:55,/getUserData,1595,200,US,GET,Mobile
01-06-2025 02:24,/search,229,404,US,GET,Mobile
01-06-2025 03:16,/search,525,404,Australia,POST,Mobile
01-06-2025 02:30,/checkout,845,404,India,GET,Mobile
01-06-2025 02:33,/login,1470,200,Australia,GET,Mobile
01-06-2025 04:20,/search,1644,404,Germany,GET,Mobile
01-06-2025 03:32,/getUserData,1039,502,Australia,GET,Mobile
01-06-2025 04:30,/search,502,200,UK,PUT,Web
01-06-2025 02:45,/getUserData,845,404,India,POST,Web
01-06-2025 00:56,/login,1091,200,UK,GET,Mobile
01-06-2025 03:48,/login,947,503,Germany,POST,Mobile
01-06-2025 00:58,/updateProfile,245,200,India,POST,Web
01-06-2025 04:55,/search,301,200,US,PUT,Mobile
01-06-2025 03:00,/updateProfile,478,404,Germany,GET,Mobile
01-06-2025 02:02,/getUserData,233,404,Germany,POST,Mobile
01-06-2025 04:08,/updateProfile,1546,200,US,PUT,Mobile
01-06-2025 03:09,/login,957,200,India,POST,Mobile
01-06-2025 01:04,/search,1030,200,Germany,PUT,Mobile
01-06-2025 05:25,/login,1728,200,Germany,PUT,Mobile
01-06-2025 01:06,/search,1477,200,UK,POST,Web
01-06-2025 01:07,/checkout,317,500,Germany,POST,Web
01-06-2025 02:16,/checkout,869,404,Australia,GET,Mobile
01-06-2025 04:36,/login,1382,200,Germany,GET,Mobile
01-06-2025 01:10,/updateProfile,349,200,UK,POST,Web
01-06-2025 04:44,/checkout,1740,200,Germany,GET,Web
01-06-2025 02:24,/updateProfile,935,200,UK,POST,Web
01-06-2025 02:26,/checkout,1329,200,UK,GET,Web
01-06-2025 04:56,/checkout,1257,404,Australia,PUT,Web
01-06-2025 05:00,/getUserData,1823,502,UK,POST,Web
01-06-2025 02:32,/login,1509,404,Australia,POST,Mobile
01-06-2025 02:34,/getUserData,1785,404,UK,GET,Mobile
01-06-2025 02:36,/search,1682,200,US,POST,Web
01-06-2025 06:35,/login,1586,500,UK,GET,Mobile
01-06-2025 04:00,/checkout,1914,200,UK,GET,Web
01-06-2025 06:45,/search,1661,500,US,GET,Mobile
01-06-2025 01:22,/login,230,503,US,PUT,Mobile
01-06-2025 06:55,/getUserData,510,500,UK,POST,Web
01-06-2025 02:48,/checkout,1924,200,US,PUT,Mobile
01-06-2025 07:05,/updateProfile,855,200,UK,POST,Web
01-06-2025 02:52,/checkout,1210,200,US,POST,Web
01-06-2025 05:48,/login,534,200,US,GET,Web
01-06-2025 02:56,/getUserData,1234,500,UK,POST,Mobile
01-06-2025 04:27,/search,622,500,UK,PUT,Web
01-06-2025 06:00,/getUserData,1032,200,US,PUT,Web
01-06-2025 01:31,/getUserData,1789,503,Germany,GET,Mobile
01-06-2025 06:08,/checkout,1499,200,US,POST,Web
01-06-2025 07:45,/getUserData,554,500,Germany,GET,Web
01-06-2025 03:08,/updateProfile,814,200,Australia,POST,Mobile
01-06-2025 03:10,/updateProfile,1503,503,India,PUT,Web
01-06-2025 04:48,/getUserData,1300,200,UK,PUT,Mobile
01-06-2025 03:14,/login,1980,502,Germany,GET,Mobile
01-06-2025 03:16,/getUserData,627,200,Germany,GET,Web
01-06-2025 08:15,/checkout,1823,200,Germany,GET,Mobile
01-06-2025 01:40,/getUserData,252,404,US,POST,Web
01-06-2025 06:44,/updateProfile,1825,200,India,GET,Mobile
01-06-2025 05:06,/login,1016,503,UK,PUT,Web
01-06-2025 08:35,/search,321,500,UK,GET,Mobile
01-06-2025 03:28,/login,1715,404,India,PUT,Web
01-06-2025 08:45,/getUserData,724,503,UK,POST,Mobile
01-06-2025 07:04,/checkout,1646,503,UK,POST,Web
01-06-2025 05:21,/getUserData,719,503,UK,PUT,Mobile
01-06-2025 05:24,/checkout,206,502,UK,GET,Web
01-06-2025 03:38,/updateProfile,314,200,UK,PUT,Web
01-06-2025 05:30,/updateProfile,328,404,Australia,POST,Web
01-06-2025 01:51,/getUserData,1858,502,US,GET,Mobile
01-06-2025 09:20,/checkout,1420,404,Australia,PUT,Mobile
01-06-2025 05:39,/getUserData,807,200,India,POST,Web
01-06-2025 07:36,/updateProfile,930,200,Germany,GET,Web
01-06-2025 01:55,/login,1670,502,US,PUT,Mobile
01-06-2025 09:40,/checkout,1304,500,US,POST,Mobile
01-06-2025 03:54,/updateProfile,1416,200,US,GET,Mobile
01-06-2025 07:52,/getUserData,1724,200,US,PUT,Web
01-06-2025 07:56,/login,1054,404,Australia,GET,Mobile
01-06-2025 06:00,/getUserData,593,503,India,PUT,Mobile
01-06-2025 08:04,/login,1759,502,US,GET,Mobile
01-06-2025 04:04,/getUserData,1158,200,India,GET,Mobile
01-06-2025 10:15,/checkout,802,500,UK,PUT,Mobile
01-06-2025 02:04,/checkout,736,200,Germany,PUT,Web
01-06-2025 04:10,/login,1462,502,UK,PUT,Mobile
01-06-2025 08:24,/checkout,1177,200,Germany,PUT,Web
01-06-2025 06:21,/updateProfile,890,200,US,POST,Mobile
01-06-2025 06:24,/search,1974,502,US,PUT,Web
01-06-2025 08:36,/getUserData,1060,503,Australia,PUT,Mobile
01-06-2025 04:20,/getUserData,924,200,India,GET,Web
01-06-2025 08:44,/checkout,1949,500,UK,GET,Web
01-06-2025 06:36,/checkout,1562,404,Germany,PUT,Mobile
01-06-2025 06:39,/updateProfile,1910,500,India,POST,Mobile
01-06-2025 06:42,/search,1690,200,UK,POST,Web
01-06-2025 09:00,/checkout,526,200,Germany,PUT,Web
01-06-2025 06:48,/search,1355,503,UK,GET,Mobile
01-06-2025 02:17,/getUserData,1859,200,India,GET,Mobile
01-06-2025 11:30,/getUserData,1581,200,India,POST,Web
01-06-2025 04:38,/checkout,301,404,US,PUT,Web
01-06-2025 09:20,/checkout,537,200,US,POST,Mobile
01-06-2025 07:03,/checkout,531,200,Germany,PUT,Mobile
01-06-2025 07:06,/search,1580,200,Australia,GET,Web
01-06-2025 02:23,/checkout,610,200,Germany,POST,Mobile
01-06-2025 07:12,/updateProfile,218,503,Germany,POST,Web
01-06-2025 07:15,/search,1797,200,US,GET,Web
01-06-2025 02:26,/getUserData,1772,503,Germany,GET,Mobile
01-06-2025 02:27,/checkout,1542,200,Germany,PUT,Mobile
01-06-2025 04:56,/updateProfile,985,404,Germany,POST,Mobile
01-06-2025 04:58,/updateProfile,1983,503,Australia,GET,Web
01-06-2025 10:00,/login,654,500,India,POST,Web
01-06-2025 02:31,/getUserData,1036,502,UK,POST,Web
01-06-2025 10:08,/getUserData,1790,200,India,POST,Web
01-06-2025 10:12,/getUserData,825,502,Germany,GET,Web
01-06-2025 12:50,/checkout,1108,404,Australia,PUT,Web
01-06-2025 05:10,/login,624,500,US,PUT,Web
01-06-2025 07:48,/search,1287,500,Germany,POST,Mobile
01-06-2025 07:51,/getUserData,1214,200,Germany,PUT,Mobile
01-06-2025 05:16,/updateProfile,1737,500,UK,POST,Mobile
01-06-2025 13:15,/updateProfile,503,503,UK,POST,Web
01-06-2025 02:40,/login,754,503,India,POST,Mobile
01-06-2025 02:41,/checkout,388,503,UK,POST,Web
01-06-2025 08:06,/getUserData,559,503,US,POST,Mobile
01-06-2025 05:26,/search,259,404,US,POST,Web
01-06-2025 05:28,/checkout,1320,404,US,PUT,Web
01-06-2025 13:45,/login,821,500,Germany,POST,Web
01-06-2025 05:32,/updateProfile,764,404,UK,POST,Web
01-06-2025 13:55,/updateProfile,571,503,UK,GET,Web
01-06-2025 14:00,/checkout,326,200,UK,GET,Web
01-06-2025 02:49,/search,646,200,US,GET,Web
01-06-2025 08:30,/search,1754,200,India,POST,Web
01-06-2025 08:33,/login,1409,503,Germany,PUT,Web
01-06-2025 08:36,/search,1679,500,UK,GET,Web
01-06-2025 14:25,/checkout,1370,500,Australia,PUT,Mobile
01-06-2025 14:30,/search,1834,404,Germany,POST,Web
01-06-2025 11:40,/getUserData,465,200,Germany,POST,Mobile
01-06-2025 11:44,/checkout,1203,503,Australia,GET,Mobile
01-06-2025 08:51,/login,1402,200,UK,POST,Web
01-06-2025 02:58,/getUserData,1971,503,India,POST,Mobile
01-06-2025 14:55,/updateProfile,1589,200,Australia,PUT,Mobile
01-06-2025 03:00,/updateProfile,948,503,Germany,PUT,Mobile
01-06-2025 09:03,/login,1176,200,India,GET,Web
01-06-2025 12:08,/updateProfile,955,200,Germany,POST,Web
01-06-2025 15:15,/checkout,628,503,Australia,GET,Web
01-06-2025 03:04,/getUserData,319,200,India,GET,Web
01-06-2025 12:20,/updateProfile,1243,503,India,GET,Web
01-06-2025 09:18,/login,1462,500,India,GET,Web
01-06-2025 15:35,/search,1687,503,UK,POST,Mobile
01-06-2025 15:40,/getUserData,971,200,US,GET,Web
01-06-2025 12:36,/updateProfile,841,200,India,GET,Mobile
01-06-2025 03:10,/search,1363,200,Australia,PUT,Web
01-06-2025 12:44,/getUserData,1703,200,Australia,PUT,Mobile
01-06-2025 06:24,/getUserData,1605,200,Australia,POST,Web
01-06-2025 12:52,/updateProfile,508,200,UK,PUT,Web
01-06-2025 12:56,/checkout,958,500,India,GET,Mobile
01-06-2025 09:45,/login,1174,404,US,GET,Web
01-06-2025 16:20,/updateProfile,387,200,Germany,GET,Mobile
01-06-2025 16:25,/checkout,336,404,UK,POST,Web
01-06-2025 06:36,/getUserData,1587,503,UK,POST,Mobile
01-06-2025 06:38,/checkout,1089,200,Australia,POST,Web
01-06-2025 16:40,/checkout,1287,502,US,GET,Web
01-06-2025 03:21,/search,1503,503,US,GET,Mobile
01-06-2025 06:44,/getUserData,1781,200,Australia,POST,Mobile
01-06-2025 10:09,/updateProfile,612,200,Australia,POST,Mobile
01-06-2025 10:12,/updateProfile,1609,503,US,PUT,Mobile
01-06-2025 13:40,/getUserData,1710,500,Australia,POST,Mobile
01-06-2025 03:26,/getUserData,646,200,India,GET,Web
01-06-2025 03:27,/getUserData,1656,404,UK,PUT,Mobile
01-06-2025 06:56,/checkout,371,200,Germany,PUT,Mobile
01-06-2025 03:29,/search,909,500,Germany,POST,Web
01-06-2025 03:30,/getUserData,836,502,US,GET,Mobile
01-06-2025 17:35,/search,1436,500,Australia,GET,Web
01-06-2025 14:08,/checkout,1579,500,UK,GET,Mobile
01-06-2025 14:12,/checkout,1576,404,UK,PUT,Web
01-06-2025 17:50,/getUserData,1738,404,India,POST,Web
01-06-2025 03:35,/checkout,581,404,UK,POST,Mobile
01-06-2025 14:24,/updateProfile,1662,500,US,PUT,Web
01-06-2025 10:51,/search,269,200,US,POST,Web
01-06-2025 18:10,/updateProfile,540,200,US,GET,Web
01-06-2025 10:57,/updateProfile,735,200,Germany,PUT,Web
01-06-2025 11:00,/updateProfile,1012,502,Germany,POST,Web
01-06-2025 03:41,/login,881,200,US,POST,Web
01-06-2025 14:48,/login,1647,200,Australia,PUT,Mobile
01-06-2025 03:43,/checkout,1993,502,India,POST,Mobile
01-06-2025 14:56,/login,642,502,US,PUT,Mobile
01-06-2025 15:00,/checkout,601,200,UK,PUT,Mobile
01-06-2025 07:32,/checkout,1254,200,India,PUT,Web
01-06-2025 11:21,/getUserData,1509,200,UK,GET,Mobile
01-06-2025 07:36,/login,784,503,UK,POST,Mobile
01-06-2025 03:49,/search,769,200,US,GET,Web
01-06-2025 03:50,/login,387,500,UK,PUT,Mobile
01-06-2025 03:51,/updateProfile,1898,200,Australia,POST,Mobile
01-06-2025 15:28,/checkout,1214,502,Germany,POST,Mobile
01-06-2025 19:25,/updateProfile,1686,200,Australia,GET,Mobile
01-06-2025 07:48,/login,588,503,Germany,POST,Mobile
01-06-2025 07:50,/search,1892,200,UK,PUT,Web
01-06-2025 03:56,/checkout,1141,500,Germany,POST,Mobile
01-06-2025 07:54,/login,827,502,Germany,PUT,Mobile
01-06-2025 19:50,/getUserData,1469,200,India,POST,Mobile
01-06-2025 15:56,/login,923,503,India,PUT,Web
01-06-2025 16:00,/checkout,1767,200,India,POST,Web
01-06-2025 04:01,/checkout,1663,500,Australia,POST,Web
01-06-2025 04:02,/updateProfile,1900,404,US,POST,Mobile
01-06-2025 20:15,/login,1876,502,US,PUT,Web
01-06-2025 12:12,/checkout,1127,200,Germany,PUT,Web
01-06-2025 04:05,/login,1016,200,Australia,PUT,Web
